Genus.Species,Caste,Image CASENT,Weber's length_1,Weber's length_2,Weber's length_error_rate,Head width_1,Head width_2,Head_width_error_rate,Scape length,Mandible length_1,Mandible length_2,Mandible length_error_rate,Eye length_1,Eye length_2,Eye length_error_rate
Nylanderia.arenivaga,worker,casent0104195,0.763,0.758,0.007,0.444,0.447,-0.007,,0.081,0.076,0.062,0.127,0.129,-0.016
Nylanderia.bourbonica,worker,casent0235555,0.897,0.912,-0.017,0.534,0.532,0.004,,0.107,0.107,0.000,0.173,0.169,0.023
Nylanderia.concinna,worker,casent0104209,0.758,0.764,-0.008,0.461,0.458,0.007,,0.690,0.680,0.014,0.126,0.123,0.024
Nylanderia.faisonensis,worker,casent0104218,0.707,0.724,-0.024,0.428,0.429,-0.002,,0.111,0.109,0.018,0.117,0.119,-0.017
Nylanderia.fulva,worker,casent0173491,0.929,0.940,-0.012,0.599,0.602,-0.005,,0.141,0.137,0.028,0.179,0.176,0.017
Nylanderia.parvula,worker,casent0003319,0.735,0.734,0.001,0.498,0.501,-0.006,,0.109,0.109,0.000,0.132,0.135,-0.023
Nylanderia.phantasma,worker,casent0104244,0.732,0.726,0.008,0.434,0.434,0.000,,0.010,0.010,0.000,0.125,0.133,-0.064
Nylanderia.pubens,worker,casent0104254,0.994,0.997,-0.003,0.645,0.642,0.005,,0.062,0.067,-0.081,0.186,0.185,0.005
Nylanderia.sp.,worker,,,,#DIV/0!,,,#DIV/0!,,,,#DIV/0!,,,#DIV/0!
Nylanderia.steinheili,worker,casent0178613,0.667,0.665,0.003,0.421,0.418,0.007,,0.092,0.092,0.000,0.123,0.120,0.024
Nylanderia.vividula,worker,casent0280580,0.705,0.706,-0.001,0.517,0.515,0.004,,0.129,0.128,0.008,0.149,0.153,-0.027
Nylanderia.wojciki,worker,casent0104268,0.628,0.635,-0.011,0.422,0.425,-0.007,,0.061,0.063,-0.033,0.121,0.124,-0.025
Ochetellus.glaber,worker,casent0005175,0.653,0.652,0.002,0.482,0.487,-0.010,,0.099,0.101,-0.020,0.138,0.133,0.036
Odontomachus.brunneus,worker,casent0270600,2.690,2.709,-0.007,1.710,1.706,0.002,,1.116,1.119,-0.003,0.380,0.383,-0.008
