"","time_code","Site","total","FD_veg","SR","FRich","FEve","FDiv","jost","mean_FRich_Null","mean_FEve_Null","mean_FDiv_Null","sd_FRich_Null","sd_FEve_Null","sd_FDiv_Null","time_numeric","Month","season","SES_FRich","SES_FDiv","SES_FEve"
"7",2018-02-01,"SHA11RE",139,12.469653119309,11,8.97176298083967,0.537398838611082,0.656396496985062,6.5966303592579,8.28435650905696,0.541290801647963,0.706885301930945,2.38858487954472,0.113576584846029,0.0905397958188157,1,"Feb","DRY",-0.0533779400772354,0.365472381865795,-0.277612580192545
"8",2018-02-01,"SHA11RF",34,8.5856122670258,7,2.36244692291975,0.792349968163578,0.678988311922535,4.97900759324924,3.38480480760051,0.533294522094716,0.737156195790684,1.44144966519344,0.152172233566741,0.133002585394881,1,"Feb","DRY",-0.0884510528868304,0.248790613605762,-0.207201327269306
"9",2018-02-01,"SHA5RA",48,6.95323623545575,6,2.84755325552344,0.842197591818615,0.787581781962326,4.74540634549819,2.4455158094434,0.599124507539736,0.749324730079559,1.27598495639087,0.151090038447222,0.137346628398333,1,"Feb","DRY",-0.0999210374159556,0.240921784665715,-0.208685424218604
"10",2018-02-01,"SHA5RB",132,10.7870433930839,10,4.24778067788521,0.614878647932606,0.735025332764922,3.82856636497869,7.1007352600084,0.56465425794076,0.705758524724199,2.22630161003527,0.109629668898968,0.110033791504022,1,"Feb","DRY",-0.0572688534181622,0.300723935613323,-0.287607260746368
"11",2018-03-01,"SHA10RC",35,5.65868504027015,3,1.73261150950738,0.774538790577502,0.349999145587685,1.54434476007559,1.17675934446621,0.603007434606178,0.800422436591863,0.926962708241816,0.274793845160222,0.171049560946021,2,"Mar","DRY",-0.10260882312111,-0.446276445290219,0.160029884261288
"12",2018-03-01,"SHA10RD",31,4.53278688789583,4,1.02914079238836,0.469630127144819,0.939758141737761,1.93332808075088,2.36260686074358,0.557258263667691,0.786365434388582,1.1141778212215,0.231013677430054,0.163821183025011,2,"Mar","DRY",-0.0853674797309943,-0.465967762031047,0.190357678064405
"13",2018-03-01,"SHA10RE",26,6.81321845817587,6,3.73765630599903,0.456418964496949,0.511106084890194,2.66346571141211,4.16406795848963,0.517743693246975,0.765640437305227,1.25050613659275,0.152478805413381,0.162611581714866,2,"Mar","DRY",-0.076060844314613,-0.469433906382477,0.288402228214502
"14",2018-03-01,"SHA10RF",8,3.69543726465873,2,NA,NA,NA,1.45756926498109,NA,NA,NA,NA,NA,NA,2,"Mar","DRY",NA,NA,NA
"15",2018-03-01,"SHA11RA",82,6.21347736839592,5,3.32377594693006,0.580901973150596,0.632283748561026,3.19465145502517,3.36321100796785,0.521524821184832,0.779796629471271,1.15389600767832,0.187207022207315,0.168075483262481,2,"Mar","DRY",-0.0824290507436827,-0.454173259214915,0.234901590326061
"16",2018-03-01,"SHA11RC",79,6.31964763611361,5,3.43850024452185,0.733507973963751,0.505773880141173,2.43302089006419,3.34895788372119,0.536050625619609,0.781119984336924,1.17455740391081,0.183414160708277,0.167293347337102,2,"Mar","DRY",-0.0809790583696939,-0.456296626509745,0.239759171630416
